journal,year,title,authors,doi,abstract
Journal of Fluid Mechanics,2012,Intermittency and flame blowout in thermoacoustic systems,Lipika Kabiraj and R. I. Sujith,10.1017/jfm.2012.463,On bifurcations in thermoacoustic systems and the first-time identification of type-II intermittency as a distinct dynamical state that connects self-excited thermoacoustic oscillations and flame blowout.
Chaos,2012,Routes to chaos in a thermoacoustic system,Lipika Kabiraj and R. I. Sujith,10.1017/jfm.2012.463,Experimental proof for the presence of chaos in thermoacoustic systems and the first demonstration of bifurcation scenarios in thermoacoustic systems.
